Volatility Foundation Volatility Framework 2.6.1
Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x83008790 System                    4      0    102      509 ------      0 2018-08-27 23:26:46 UTC+0000                                 
0x83e1d2d0 smss.exe                388      4      4       28 ------      0 2018-08-27 23:26:46 UTC+0000                                 
0x83b6bd90 csrss.exe               456    444     10      540      0      0 2018-08-27 23:26:47 UTC+0000                                 
0x83f4ad90 csrss.exe               500    492      9      230      1      0 2018-08-27 23:26:47 UTC+0000                                 
0x83f4cd90 wininit.exe             508    444      5      105      0      0 2018-08-27 23:26:47 UTC+0000                                 
0x83f56320 winlogon.exe            540    492      4      119      1      0 2018-08-27 23:26:47 UTC+0000                                 
0x84012d90 services.exe            604    508      8      255      0      0 2018-08-27 23:26:47 UTC+0000                                 
0x84016d90 lsass.exe               612    508     18      668      0      0 2018-08-27 23:26:47 UTC+0000                                 
0x84018d90 lsm.exe                 620    508     10      167      0      0 2018-08-27 23:26:47 UTC+0000                                 
0x84085020 svchost.exe             780    604      8      307      0      0 2018-08-27 23:26:47 UTC+0000                                 
0x84091020 vmacthlp.exe            824    604      1       49      0      0 2018-08-27 23:26:47 UTC+0000                                 
0x8409a020 svchost.exe             856    604      8      291      0      0 2018-08-27 23:26:47 UTC+0000                                 
0x840b26a0 svchost.exe             912    604     16      281      0      0 2018-08-27 23:26:48 UTC+0000                                 
0x840c9c48 svchost.exe             984    604      7      129      0      0 2018-08-27 23:26:48 UTC+0000                                 
0x840d0020 svchost.exe             996    604     46      803      0      0 2018-08-27 23:26:48 UTC+0000                                 
0x840d7a30 SLsvc.exe              1032    604      4       95      0      0 2018-08-27 23:26:48 UTC+0000                                 
0x840ec660 svchost.exe            1096    604     21      605      0      0 2018-08-27 23:26:48 UTC+0000                                 
0x840f79c0 svchost.exe            1168    604     12      240      0      0 2018-08-27 23:26:48 UTC+0000                                 
0x840fed90 svchost.exe            1192    604     18      357      0      0 2018-08-27 23:26:48 UTC+0000                                 
0x8412e808 svchost.exe            1344    604     32      286      0      0 2018-08-27 23:26:48 UTC+0000                                 
0x841964c8 spoolsv.exe            1464    604     19      313      0      0 2018-08-27 23:26:50 UTC+0000                                 
0x841a3020 svchost.exe            1524    604      5      126      0      0 2018-08-27 23:26:50 UTC+0000                                 
0x841ae6b0 svchost.exe            1568    604      3       73      0      0 2018-08-27 23:26:50 UTC+0000                                 
0x841c3020 VGAuthService.e        1668    604      2       86      0      0 2018-08-27 23:26:50 UTC+0000                                 
0x841dd8b8 taskeng.exe            1768    996     11      250      1      0 2018-08-27 23:26:50 UTC+0000                                 
0x841eb920 vmtoolsd.exe           1844    604      8      288      0      0 2018-08-27 23:26:50 UTC+0000                                 
0x841fdc48 taskeng.exe            1948    996      6      138      0      0 2018-08-27 23:26:50 UTC+0000                                 
0x841ff020 svchost.exe            1980    604      4       40      0      0 2018-08-27 23:26:51 UTC+0000                                 
0x93d7e020 TPAutoConnSvc.e         284    604      7      115      0      0 2018-08-27 23:26:51 UTC+0000                                 
0x93d863e8 WmiPrvSE.exe           1964    780      9      213      0      0 2018-08-27 23:26:51 UTC+0000                                 
0x93d8c908 dllhost.exe            1764    604     19      232      0      0 2018-08-27 23:26:51 UTC+0000                                 
0x93d96020 dllhost.exe            2092    604     17      261      0      0 2018-08-27 23:26:51 UTC+0000                                 
0x93da99b8 msdtc.exe              2212    604     14      180      0      0 2018-08-27 23:26:51 UTC+0000                                 
0x840dc838 WmiPrvSE.exe           2368    780     13      490      0      0 2018-08-27 23:26:52 UTC+0000                                 
0x93dc0960 TPAutoConnect.e        2420    284      2       98      1      0 2018-08-27 23:26:52 UTC+0000                                 
0x93dd7758 VSSVC.exe              2532    604      4      133      0      0 2018-08-27 23:26:53 UTC+0000                                 
0x93dc5020 dwm.exe                2684   1168      3       75      1      0 2018-08-27 23:27:08 UTC+0000                                 
0x93d94a60 explorer.exe           2708   2672     21      524      1      0 2018-08-27 23:27:08 UTC+0000                                 
0x8121dd90 vmx32to64.exe          2800   2708      1       64      1      0 2018-08-27 23:27:09 UTC+0000                                 
0x8122fd90 jusched.exe            2808   2708      1       49      1      0 2018-08-27 23:27:09 UTC+0000                                 
0x8122e508 vmtoolsd.exe           2816   2708      6      204      1      0 2018-08-27 23:27:09 UTC+0000                                 
0x93dc6238 WmiApSrv.exe           2884    604      5      124      0      0 2018-08-27 23:27:11 UTC+0000                                 
0x840b5d90 iexplore.exe           3028   2708     12      497      1      0 2018-08-27 23:27:22 UTC+0000                                 
0x81262598 svchost.exe            3084    604     10      231      0      0 2018-08-27 23:27:22 UTC+0000                                 
0x93d978b8 FTK Imager.exe         3548   2708      8      267      1      0 2018-08-27 23:28:24 UTC+0000                                 
